date,new_cases,new_deaths,new_vaccinations,population
2020-01,37493.0,788.0,0.0,249883025317.0
2020-02,304360.0,10947.0,0.0,804403262400.0
2020-03,3519291.0,204908.0,0.0,979105268072.0
2020-04,10415773.0,897049.0,0.0,970631652069.0
2020-05,11793881.0,644229.0,0.0,1003751320317.0
2020-06,17389503.0,584712.0,0.0,971399264310.0
2020-07,28648379.0,705067.0,0.0,1003779239787.0
2020-08,32244503.0,738308.0,0.0,1003779239787.0
2020-09,35023164.0,667311.0,0.0,971399393934.0
2020-10,51939811.0,757824.0,0.0,1003794043406.0
2020-11,74515982.0,1209579.0,0.0,971431255074.0
2020-12,82105075.0,1530642.0,40114826.0,1003819242280.0
2021-01,82382675.0,1787748.0,367457343.0,1003827895918.0
2021-02,47952739.0,1319542.0,654684904.0,906697565021.0
2021-03,63823294.0,1272099.0,1425873183.0,1004037961328.0
2021-04,94201632.0,1588567.0,2226082425.0,971652546650.0
2021-05,80592809.0,1554864.0,3262735987.0,1004046588829.0
2021-06,46427985.0,1101209.0,4668573208.0,971660773702.0
2021-07,64583273.0,1052133.0,4284651354.0,1004049546302.0
2021-08,81540759.0,1213967.0,4632866709.0,1004049727142.0
2021-09,65284195.0,1077744.0,3676399741.0,971661393780.0
2021-10,54782377.0,897919.0,3077132264.0,1004050106906.0
2021-11,68524905.0,913580.0,3690323877.0,971659862436.0
2021-12,112246742.0,948271.0,4507308580.0,1004036900492.0
2022-01,389247943.0,1004559.0,3542845217.0,1004036702196.0
2022-02,253675124.0,1167145.0,2487965419.0,906871860048.0
2022-03,224460591.0,760756.0,1926371888.0,1004036702196.0
2022-04,111003652.0,371134.0,1175921163.0,970866915005.0
2022-05,70015408.0,222474.0,844099158.0,1003697799788.0
2022-06,77501955.0,185130.0,931815884.0,971606236871.0
2022-07,128796304.0,260155.0,944580048.0,1003926265051.0
2022-08,105073390.0,319149.0,806281257.0,1003925448401.0
2022-09,62811079.0,215661.0,656770901.0,971373551218.0
2022-10,56970472.0,189265.0,467623068.0,1003726075796.0
2022-11,19722230.0,81666.0,64963747.0,420633764272.0
