continent,date,new_cases,new_deaths,new_vaccinations,population
Africa,2020,2760926.0,65507.0,0.0,427057560339.0
Africa,2021,6977423.0,163031.0,82606042.0,520074058410.0
Africa,2022,2645737.0,28331.0,34589473.0,451681333583.0
Asia,2020,19898874.0,336992.0,1016640.0,1560988035268.0
Asia,2021,64275714.0,914663.0,5545983939.0,1723079591296.0
Asia,2022,106076062.0,237532.0,1878128520.0,1495130219352.0
Europe,2020,23923621.0,569149.0,350521.0,263949976148.0
Europe,2021,65173405.0,994145.0,1066579878.0,297280609671.0
Europe,2022,148420833.0,407757.0,215556413.0,257903308222.0
North America,2020,23205204.0,508701.0,5776003.0,205137158414.0
North America,2021,41906781.0,706597.0,763253201.0,218818345953.0
North America,2022,50990983.0,309320.0,193583062.0,189550692524.0
Oceania,2020,48428.0,1061.0,0.0,14081790214.0
Oceania,2021,540424.0,3458.0,50651383.0,16379974161.0
Oceania,2022,12211843.0,16001.0,19208410.0,14221910674.0
South America,2020,13230145.0,413261.0,31138.0,136283206403.0
South America,2021,26448688.0,765948.0,592739964.0,159326920515.0
South America,2022,24711457.0,130218.0,231833000.0,138374339187.0
